line_id,origin_canton,line_name,stop_id,num_cantons,canton_list
92-12-J-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",12,55,2,"Basel-Landschaft, Basel-Stadt"
92-N5-j24-1,"['Thurgau', 'StGallen']",N5,55,2,"StGallen, Thurgau"
92-888-j24-1,"['Zurich', 'StGallen']",888,54,2,"StGallen, Zurich"
92-N21-C-j24-1,"['Aargau', 'Solothurn']",N21,54,2,"Aargau, Solothurn"
91-2F-Y-j24-1,"['Bern', 'Basel-Stadt']",ICE,53,2,"Basel-Stadt, Bern"
92-N23-C-j24-1,"['Fribourg', 'Vaud']",N23,50,2,"Fribourg, Vaud"
91-2W-Y-j24-1,"['Bern', 'Valais']",EC,49,2,"Bern, Valais"
96-291-0-j24-1,"['Graubunden', 'Ticino']",631,49,2,"Graubunden, Ticino"
91-1V-Y-j24-1,"['StGallen', 'Zurich']",RJX,48,2,"StGallen, Zurich"
91-2O-Y-j24-1,"['Vaud', 'Valais']",EC,48,2,"Valais, Vaud"
91-55-j24-1,"['Nidwalden', 'Obwalden']",S55,48,2,"Nidwalden, Obwalden"
91-23-B-j24-1,"['Thurgau', 'Zurich']",S23,47,2,"Thurgau, Zurich"
91-3F-Y-j24-1,"['Basel-Landschaft', 'Aargau']",S,46,2,"Aargau, Basel-Landschaft"
92-13-F-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",13,45,2,"Basel-Landschaft, Basel-Stadt"
92-493-C-j24-1,"['Uri', 'Luzern']",493,45,2,"Luzern, Uri"
92-128-B-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",128,43,2,"Basel-Landschaft, Basel-Stadt"
92-493-A-j24-1,"['Luzern', 'Uri']",493,42,2,"Luzern, Uri"
92-201-C-j24-1,"['Schaffhausen', 'Thurgau']",201,41,2,"Schaffhausen, Thurgau"
92-M52-j24-1,"['Solothurn', 'Bern']",M52,41,2,"Bern, Solothurn"
91-35-Y-j24-1,"['Zug', 'Zurich']",IR,39,2,"Zug, Zurich"
94-373-0-j24-1,"['Zurich', 'StGallen']",3730,36,2,"StGallen, Zurich"
96-359-5-j24-1,"['Luzern', 'Obwalden']",N5,36,2,"Luzern, Obwalden"
92-108-B-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",108,34,2,"Basel-Landschaft, Basel-Stadt"
92-106-D-j24-1,"['Basel-Stadt', 'Basel-Landschaft']",106,33,2,"Basel-Landschaft, Basel-Stadt"
92-N6-A-j24-1,"['Zug', 'Aargau']",N6,33,2,"Aargau, Zug"
92-N23-B-j24-1,"['Solothurn', 'Aargau']",N23,32,2,"Aargau, Solothurn"
92-N30-j24-1,"['Graubunden', 'StGallen']",N30,32,2,"Graubunden, StGallen"
92-M22-j24-1,"['Fribourg', 'Bern']",M22,29,2,"Bern, Fribourg"
91-31-B-j24-1,"['Schaffhausen', 'Thurgau']",31,28,2,"Schaffhausen, Thurgau"
92-B24-j24-1,"['AppenzellAusserrhoden', 'StGallen']",B24,28,2,"AppenzellAusserrhoden, StGallen"
92-7-Y-j24-1,"['Obwalden', 'Nidwalden']",B,27,2,"Nidwalden, Obwalden"
91-4H-Y-j24-1,"['Schwyz', 'Zurich']",S,24,2,"Schwyz, Zurich"
92-155-C-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",155,24,2,"Basel-Landschaft, Basel-Stadt"
96-110-5-j24-1,"['Neuchatel', 'Bern']",156,24,2,"Bern, Neuchatel"
96-185-9-j24-1,"['Zurich', 'Thurgau']",N65,24,2,"Thurgau, Zurich"
92-121-D-j24-1,"['Solothurn', 'Basel-Landschaft']",121,22,2,"Basel-Landschaft, Solothurn"
92-127-C-j24-1,"['Solothurn', 'Basel-Landschaft']",127,22,2,"Basel-Landschaft, Solothurn"
92-2L-Y-j24-1,"['Zurich', 'Schaffhausen']",EV,20,2,"Schaffhausen, Zurich"
92-734-D-j24-1,"['Aargau', 'Schaffhausen']",7345,19,2,"Aargau, Schaffhausen"
91-3R-Y-j24-1,"['Ticino', 'Schwyz']",EC,18,2,"Schwyz, Ticino"
91-3M-Y-j24-1,"['Aargau', 'Luzern']",IR,17,2,"Aargau, Luzern"
91-62-D-j24-1,"['Schaffhausen', 'Thurgau']",S62,17,2,"Schaffhausen, Thurgau"
91-3-O-j24-1,"['Thurgau', 'Schaffhausen']",3,16,2,"Schaffhausen, Thurgau"
91-3D-Y-j24-1,"['Neuchatel', 'Vaud']",IR,16,2,"Neuchatel, Vaud"
92-C33-j24-1,"['Vaud', 'Geneve']",C33,15,2,"Geneve, Vaud"
91-46-D-j24-1,"['Solothurn', 'Bern']",S46,13,2,"Bern, Solothurn"
91-P28-A-j24-1,"['Neuchatel', 'Vaud']",P28,13,2,"Neuchatel, Vaud"
92-551-A-j24-1,"['Glarus', 'Uri']",551,12,2,"Glarus, Uri"
91-1X-Y-j24-1,"['Bern', 'Neuchatel']",RE,11,2,"Bern, Neuchatel"
91-2P-Y-j24-1,"['Zurich', 'StGallen']",NJ,8,2,"StGallen, Zurich"
91-3E-Y-j24-1,"['Zurich', 'StGallen']",EC,8,2,"StGallen, Zurich"
92-287-j24-1,"['Bern', 'Luzern']",287,8,2,"Bern, Luzern"
91-4U-Y-j24-1,"['Zurich', 'Bern']",IR,7,2,"Bern, Zurich"
91-4X-Y-j24-1,"['Solothurn', 'Basel-Landschaft']",S,7,2,"Basel-Landschaft, Solothurn"
91-2L-Y-j24-1,"['Zug', 'Zurich']",RE,6,2,"Zug, Zurich"
91-36-Y-j24-1,"['Zurich', 'Basel-Stadt']",NJ,6,2,"Basel-Stadt, Zurich"
91-4B-Y-j24-1,"['Zurich', 'Basel-Landschaft']",IC,6,2,"Basel-Landschaft, Zurich"
92-L1-j24-1,"['Vaud', 'Geneve']",L1,6,2,"Geneve, Vaud"
92-105-C-j24-1,"['Basel-Landschaft', 'Basel-Stadt']",105,5,2,"Basel-Landschaft, Basel-Stadt"
92-A03-K-j24-1,"['Bern', 'Jura']",EV1,5,2,"Bern, Jura"
91-30-M-j24-1,"['Aargau', 'Basel-Stadt']",RE30,4,2,"Aargau, Basel-Stadt"
91-3I-Y-j24-1,"['Zurich', 'Basel-Stadt']",EC,3,2,"Basel-Stadt, Zurich"
