iter	Passed	Remaining
606	22898	14825
607	22933	14786
608	22969	14747
609	23023	14720
610	23061	14682
611	23102	14646
612	23138	14607
613	23174	14568
614	23210	14529
615	23247	14492
616	23287	14455
617	23326	14418
618	23361	14379
619	23398	14340
620	23465	14320
621	23503	14283
622	23540	14245
623	23576	14206
624	23630	14178
625	23667	14139
626	23703	14100
627	23741	14063
628	23777	14024
629	23814	13986
630	23849	13947
631	23924	13930
632	23960	13891
633	23997	13853
634	24032	13813
635	24071	13776
636	24110	13739
637	24145	13700
638	24182	13661
639	24219	13623
640	24257	13585
641	24315	13559
642	24353	13521
643	24392	13483
644	24428	13444
645	24466	13407
646	24503	13368
647	24540	13330
648	24595	13302
649	24631	13262
650	24670	13225
651	24705	13186
652	24745	13149
653	24782	13111
654	24829	13078
655	24866	13039
656	24904	13001
657	24941	12963
658	24977	12924
659	25016	12887
660	25052	12848
661	25086	12808
662	25122	12769
663	25160	12731
664	25194	12691
665	25229	12652
666	25268	12615
667	25308	12578
668	25350	12542
669	25388	12504
670	25427	12467
671	25490	12441
672	25532	12405
673	25573	12369
674	25610	12331
675	25647	12292
676	25691	12257
677	25728	12219
678	25765	12180
679	25802	12142
680	25842	12105
681	25908	12080
682	25943	12041
683	25981	12003
684	26032	11971
685	26070	11933
686	26109	11895
687	26148	11858
688	26186	11820
689	26239	11788
690	26274	11749
691	26313	11711
692	26353	11674
693	26391	11636
694	26427	11597
695	26464	11559
696	26499	11519
697	26536	11481
698	26573	11442
699	26631	11413
700	26668	11374
701	26706	11336
702	26743	11298
703	26778	11259
704	26814	11220
705	26854	11182
706	26891	11144
707	26928	11106
708	26965	11067
709	27025	11038
710	27064	11000
711	27103	10963
712	27145	10926
713	27186	10889
714	27222	10850
715	27258	10811
716	27295	10773
717	27333	10735
718	27372	10697
719	27411	10660
720	27474	10631
721	27510	10592
722	27546	10553
723	27581	10514
724	27619	10476
725	27654	10437
726	27690	10398
727	27729	10360
728	27774	10324
729	27810	10286
730	27847	10247
731	27885	10209
732	27921	10170
733	27958	10132
734	27994	10093
735	28036	10056
736	28073	10018
737	28108	9978
738	28143	9939
739	28187	9903
740	28227	9866
741	28264	9827
742	28299	9788
743	28334	9749
744	28369	9710
745	28406	9671
746	28443	9633
747	28480	9594
748	28515	9555
749	28551	9517
750	28589	9479
751	28624	9440
752	28661	9401
753	28702	9364
754	28753	9330
755	28790	9292
756	28826	9253
757	28863	9214
758	28899	9176
759	28936	9137
760	28975	9099
761	29012	9061
762	29050	9023
763	29087	8985
764	29123	8946
765	29161	8908
766	29239	8882
767	29282	8845
768	29320	8807
769	29355	8768
770	29396	8731
771	29432	8692
772	29468	8653
773	29505	8615
774	29542	8576
775	29578	8538
776	29616	8499
777	29653	8461
778	29693	8423
779	29730	8385
780	29769	8347
781	29818	8312
782	29856	8274
783	29892	8235
784	29937	8199
785	29977	8161
786	30020	8125
787	30057	8086
788	30093	8047
789	30128	8008
790	30165	7970
791	30203	7932
792	30239	7893
793	30274	7854
794	30311	7816
795	30352	7778
796	30389	7740
797	30425	7701
798	30467	7664
799	30516	7629
800	30553	7590
801	30592	7552
802	30632	7515
803	30673	7477
804	30711	7439
805	30751	7401
806	30789	7363
807	30828	7325
808	30899	7295
809	30938	7257
810	30975	7218
811	31013	7180
812	31051	7142
813	31089	7104
814	31128	7066
815	31164	7027
816	31202	6989
817	31238	6950
818	31277	6912
819	31315	6874
820	31351	6835
821	31388	6797
822	31437	6761
823	31473	6722
824	31507	6683
825	31544	6645
826	31579	6606
827	31617	6567
828	31653	6529
829	31690	6490
830	31728	6452
831	31765	6414
832	31800	6375
833	31838	6337
834	31875	6298
835	31916	6261
836	31954	6222
837	31994	6185
838	32030	6146
839	32066	6107
840	32105	6069
841	32142	6031
842	32180	5993
843	32217	5954
844	32257	5917
845	32295	5878
846	32332	5840
847	32392	5806
848	32427	5767
849	32462	5728
850	32500	5690
851	32539	5652
852	32574	5613
853	32612	5575
854	32649	5537
855	32688	5499
856	32724	5460
857	32786	5426
858	32824	5387
859	32861	5349
860	32900	5311
861	32936	5272
862	32974	5234
863	33011	5196
864	33047	5157
865	33084	5119
866	33123	5081
867	33163	5043
868	33202	5005
869	33239	4966
870	33278	4928
871	33316	4890
872	33354	4852
873	33392	4814
874	33433	4776
875	33470	4737
876	33506	4699
877	33544	4661
878	33584	4623
879	33621	4584
880	33662	4546
881	33698	4508
882	33735	4470
883	33775	4432
884	33811	4393
885	33847	4355
886	33913	4320
887	33952	4282
888	33990	4244
889	34028	4205
890	34068	4167
891	34104	4129
892	34141	4090
893	34177	4052
894	34212	4013
895	34250	3975
896	34287	3937
897	34324	3898
898	34375	3861
899	34413	3823
900	34455	3785
901	34493	3747
902	34530	3709
903	34572	3671
904	34611	3633
905	34649	3594
906	34711	3559
907	34754	3521
908	34792	3483
909	34829	3444
910	34865	3406
911	34903	3367
912	34941	3329
913	34981	3291
914	35017	3252
915	35054	3214
916	35091	3176
917	35126	3137
918	35164	3099
919	35214	3062
920	35253	3023
921	35288	2985
922	35326	2947
923	35364	2908
924	35402	2870
925	35441	2832
926	35479	2793
927	35521	2755
928	35562	2717
929	35601	2679
930	35641	2641
931	35677	2603
932	35713	2564
933	35751	2526
934	35795	2488
935	35864	2452
936	35901	2413
937	35942	2375
938	35978	2337
939	36019	2299
940	36059	2260
941	36100	2222
942	36136	2184
943	36175	2146
944	36212	2107
945	36248	2069
946	36303	2031
947	36341	1993
948	36379	1955
949	36419	1916
950	36456	1878
951	36494	1840
952	36559	1803
953	36597	1764
954	36636	1726
955	36677	1688
956	36714	1649
957	36756	1611
958	36796	1573
959	36837	1534
960	36876	1496
961	36915	1458
962	36952	1419
963	36989	1381
964	37035	1343
965	37081	1305
966	37117	1266
967	37152	1228
968	37190	1189
969	37227	1151
970	37264	1112
971	37299	1074
972	37347	1036
973	37383	997
974	37422	959
975	37462	921
976	37499	882
977	37537	844
978	37575	806
979	37614	767
980	37652	729
981	37688	690
982	37725	652
983	37762	614
984	37797	575
985	37833	537
986	37873	498
987	37912	460
988	37949	422
989	38009	383
990	38048	345
991	38083	307
992	38123	268
993	38160	230
994	38196	191
995	38233	153
996	38272	115
997	38342	76
998	38379	38
999	38417	0
